PRN,College,Branch,TotalNoGrace,TotalGrace,SumTotal,OFC_PP,OFC_PR,OFC_OR,OFC_TW,MC_PP,MC_PR,MC_OR,MC_TW,SC|TAVE|TAMS_PP,SC|TAVE|TAMS_PR,SC|TAVE|TAMS_OR,SC|TAVE|TAMS_TW,VDT_PP,VDT_PR,VDT_OR,VDT_TW,AI|N_PP,AI|N_PR,AI|N_OR,AI|N_TW,DIP|ESAR_PP,DIP|ESAR_PR,DIP|ESAR_OR,DIP|ESAR_TW,PI_PP,PI_PR,PI_OR,PI_TW,CN_PP,CN_PR,CN_OR,CN_TW,TSS_PP,TSS_PR,TSS_OR,TSS_TW,PP_PP,PP_PR,PP_OR,PP_TW,EPD_PP,EPD_PR,EPD_OR,EPD_TW
12345678Z,COLNAME,ET,915,0,915,44,33,0,21,45,0,0,0,58,43,0,23,46,36,0,0,64,0,0,0,43,25,0,21,0,0,46,95,41,0,39,0,48,0,38,0,0,0,0,35,50,0,0,21
12345678Z,COLNAME,ET,977,0,977,44,37,0,22,54,0,0,0,61,40,0,22,47,40,0,0,72,0,0,0,53,28,0,21,0,0,45,90,60,0,42,0,57,0,41,0,0,0,0,39,40,0,0,22
12345678Z,COLNAME,ET,1045,0,1045,49,37,0,22,65,0,0,0,70,36,0,21,55,40,0,0,77,0,0,0,56,39,0,21,0,0,45,96,61,0,40,0,67,0,39,0,0,0,0,37,49,0,0,23
12345678Z,COLNAME,ET,932,0,932,29,37,0,22,58,0,0,0,57,41,0,23,46,30,0,0,57,0,0,0,44,31,0,19,0,0,43,95,52,0,38,0,57,0,38,0,0,0,0,38,56,0,0,21
12345678Z,COLNAME,ET,1039,0,1039,65,39,0,22,55,0,0,0,61,41,0,21,55,43,0,0,74,0,0,0,63,30,0,20,0,0,44,92,60,0,39,0,63,0,41,0,0,0,0,41,48,0,0,22
12345678Z,COLNAME,ET,1021,0,1021,52,42,0,23,55,0,0,0,56,40,0,22,55,42,0,0,47,0,0,0,63,35,0,23,0,0,48,96,59,0,39,0,64,0,41,0,0,0,0,41,55,0,0,23
12345678Z,COLNAME,ET,1005,0,1005,65,41,0,22,54,0,0,0,67,43,0,24,52,40,0,0,50,0,0,0,52,40,0,23,0,0,42,95,50,0,38,0,55,0,42,0,0,0,0,39,48,0,0,23
12345678Z,COLNAME,ET,971,0,971,56,41,0,22,50,0,0,0,64,42,0,18,41,39,0,0,40,0,0,0,45,40,0,21,0,0,46,96,60,0,43,0,50,0,41,0,0,0,0,40,54,0,0,22
12345678Z,COLNAME,ET,930,0,930,40,38,0,22,50,0,0,0,64,38,0,17,46,31,0,0,56,0,0,0,51,34,0,22,0,0,45,90,59,0,38,0,51,0,39,0,0,0,0,36,40,0,0,23
12345678Z,COLNAME,ET,947,0,947,51,37,0,22,44,0,0,0,61,39,0,21,43,41,0,0,60,0,0,0,44,42,0,22,0,0,44,94,52,0,42,0,45,0,38,0,0,0,0,42,42,0,0,21
12345678Z,COLNAME,ET,1011,0,1011,49,42,0,22,61,0,0,0,68,42,0,23,52,30,0,0,54,0,0,0,60,38,0,24,0,0,44,95,60,0,41,0,56,0,39,0,0,0,0,38,51,0,0,22
12345678Z,COLNAME,ET,1026,0,1026,51,39,0,22,57,0,0,0,64,41,0,23,55,38,0,0,48,0,0,0,50,36,0,22,0,0,47,97,58,0,37,0,73,0,41,0,0,0,0,41,66,0,0,20
12345678Z,COLNAME,ET,871,0,871,42,32,0,20,40,0,0,0,63,30,0,20,42,22,0,0,41,0,0,0,40,37,0,18,0,0,44,95,46,0,39,0,50,0,40,0,0,0,0,37,53,0,0,20
12345678Z,COLNAME,ET,1014,0,1014,62,42,0,23,54,0,0,0,60,35,0,23,40,40,0,0,46,0,0,0,63,29,0,21,0,0,45,94,69,0,43,0,59,0,44,0,0,0,0,35,64,0,0,23
12345678Z,COLNAME,ET,963,0,963,58,39,0,22,48,0,0,0,61,35,0,20,47,35,0,0,50,0,0,0,48,29,0,21,0,0,46,96,49,0,41,0,58,0,42,0,0,0,0,41,54,0,0,23
12345678Z,COLNAME,ET,833,0,833,49,30,0,20,42,0,0,0,43,39,0,21,26,34,0,0,31,0,0,0,40,38,0,21,0,0,46,90,40,0,39,0,40,0,41,0,0,0,0,40,41,0,0,22
12345678Z,COLNAME,ET,834,0,834,47,36,0,22,45,0,0,0,40,25,0,16,40,25,0,0,42,0,0,0,45,20,0,18,0,0,44,96,44,0,41,0,42,0,40,0,0,0,0,42,42,0,0,22
12345678Z,COLNAME,ET,943,0,943,47,35,0,21,46,0,0,0,57,38,0,21,42,40,0,0,44,0,0,0,50,42,0,23,0,0,46,95,48,0,40,0,50,0,36,0,0,0,0,40,61,0,0,21
12345678Z,COLNAME,ET,825,0,825,40,35,0,21,31,0,0,0,60,38,0,21,40,20,0,0,40,0,0,0,40,24,0,16,0,0,41,92,49,0,37,0,47,0,34,0,0,0,0,33,45,0,0,21
12345678Z,COLNAME,ET,920,0,920,49,40,0,23,40,0,0,0,57,36,0,16,40,41,0,0,46,0,0,0,44,35,0,22,0,0,47,96,40,0,35,0,51,0,42,0,0,0,0,39,58,0,0,23
12345678Z,COLNAME,ET,994,0,994,55,39,0,22,69,0,0,0,66,40,0,23,42,28,0,0,56,0,0,0,55,30,0,21,0,0,45,95,54,0,39,0,53,0,39,0,0,0,0,37,64,0,0,22
12345678Z,COLNAME,ET,898,2,900,70,29,0,20,40,0,0,0,60,39,0,22,40,30,0,0,63,0,0,0,40,29,0,16,0,0,43,92,40,0,38,0,49,0,38,0,0,0,0,39,40,0,0,21
